Orthogroup	111	GCF_017603965.1_ASM1760396v1_protein	GCF_022117535.1_ASM2211753v1_protein	GCF_900379835.1_GBBC_2088_protein	GCF_900380015.1_JVD-0051_protein	GCF_900380035.1_NCPPB_1822_protein	GCF_900380065.1_PD_2659_protein	GCF_900380085.1_PD_2662_protein	GCF_900380095.1_PD_2905_protein	GCF_900380115.1_PD_4314_protein	GCF_900380125.1_PD_3160_protein	GCF_900380135.1_PD_4932_protein	GCF_900380145.1_PD_4634_protein	GCF_900380235.1_PD_885_protein
OG0000000				WP_108796707.1, WP_108796709.1, WP_108796758.1, WP_108796771.1, WP_108796784.1, WP_108796786.1, WP_108796816.1, WP_108796820.1, WP_108796825.1, WP_108796830.1, WP_108796839.1, WP_159087695.1, WP_159088890.1, WP_159088892.1, WP_159088906.1, WP_159088920.1, WP_159088924.1, WP_159088927.1, WP_159088928.1, WP_159088936.1, WP_159088937.1, WP_159088940.1, WP_159088944.1, WP_159088947.1, WP_159088952.1, WP_159088968.1, WP_159088972.1, WP_159088977.1, WP_159088993.1, WP_159089000.1, WP_159089001.1, WP_159089002.1, WP_159089004.1, WP_159089009.1, WP_159089012.1, WP_159089023.1, WP_159089039.1, WP_199915500.1	WP_108834491.1, WP_108834658.1, WP_108834670.1, WP_108834749.1, WP_108834859.1, WP_108834982.1, WP_108834992.1, WP_108835074.1, WP_108835154.1, WP_159088064.1, WP_159088920.1, WP_159089693.1, WP_159093361.1, WP_159093362.1, WP_159093368.1, WP_159093371.1, WP_159093375.1, WP_159093376.1, WP_159093377.1, WP_159093389.1, WP_159093418.1, WP_159093425.1, WP_159093426.1, WP_159093427.1, WP_159093433.1, WP_159093439.1, WP_159093443.1, WP_159093455.1, WP_159093465.1, WP_159093466.1, WP_159093469.1, WP_159093471.1, WP_159093482.1, WP_159093487.1, WP_159093488.1, WP_159093491.1, WP_159093494.1, WP_159093495.1, WP_159093496.1, WP_199913810.1, WP_199913866.1	WP_108775324.1, WP_108807212.1, WP_109170825.1, WP_109170847.1, WP_109170852.1, WP_109170860.1, WP_109170862.1, WP_159088046.1, WP_159088054.1, WP_159088735.1, WP_159088920.1, WP_159088952.1, WP_159089693.1, WP_159089748.1, WP_159089839.1, WP_159089903.1, WP_159094445.1, WP_159096145.1, WP_159096718.1, WP_162597088.1, WP_162597092.1, WP_162597094.1, WP_162597103.1, WP_162597108.1, WP_162597109.1, WP_162597120.1, WP_162597125.1, WP_162597127.1, WP_162597142.1, WP_162597151.1, WP_162597171.1, WP_162597201.1, WP_162597214.1, WP_162597215.1, WP_162597222.1, WP_162597232.1, WP_162597242.1, WP_162597254.1, WP_162597262.1, WP_162597268.1, WP_239425883.1	WP_159095411.1	WP_134656594.1	WP_088061275.1, WP_159088670.1		WP_108840901.1		WP_159088637.1	WP_159087650.1, WP_234409127.1
OG0000001		WP_208586558.1, WP_208586576.1, WP_208586758.1, WP_208587963.1, WP_208589092.1, WP_208590569.1	WP_208586558.1, WP_208586576.1, WP_208586758.1, WP_208587963.1, WP_208589092.1, WP_208590569.1	WP_088056693.1, WP_108796719.1, WP_108796744.1, WP_108796748.1, WP_108796762.1, WP_108796789.1, WP_108796802.1, WP_108796814.1, WP_108796826.1, WP_108796832.1, WP_159087906.1, WP_159088019.1, WP_159088028.1, WP_159088891.1, WP_159088910.1, WP_159088956.1, WP_159088981.1, WP_159089024.1, WP_159089031.1, WP_159089033.1, WP_159089037.1, WP_159089038.1, WP_159089042.1	WP_108834464.1, WP_108834545.1, WP_108834567.1, WP_108834780.1, WP_108834799.1, WP_108835148.1, WP_108835149.1, WP_159088134.1, WP_159088956.1, WP_159089038.1, WP_159090754.1, WP_159093411.1, WP_159093462.1, WP_159093463.1, WP_159093470.1, WP_159093474.1, WP_159093483.1, WP_159093492.1, WP_234423300.1	WP_088056693.1, WP_109170809.1, WP_109170810.1, WP_109170812.1, WP_109170822.1, WP_109170834.1, WP_109170836.1, WP_109170840.1, WP_109170849.1, WP_109170856.1, WP_109170858.1, WP_109170859.1, WP_159087906.1, WP_159088028.1, WP_159088158.1, WP_159088956.1, WP_159094422.1, WP_162597134.1, WP_162597155.1, WP_162597172.1, WP_162597261.1	WP_144422810.1, WP_159095415.1, WP_234419601.1	WP_134656603.1, WP_146049078.1, WP_159087833.1, WP_167701848.1	WP_159087752.1, WP_159088665.1, WP_159088667.1	WP_159087605.1, WP_159087621.1	WP_144422810.1, WP_147308802.1, WP_159087727.1, WP_159087740.1, WP_159097200.1	WP_147308802.1, WP_159087740.1, WP_159087906.1, WP_159089919.1, WP_159089923.1, WP_159089930.1	WP_159087752.1	WP_159087671.1
OG0000002		WP_208587408.1	WP_208587408.1	WP_087946428.1, WP_088057059.1, WP_088060908.1, WP_108784851.1, WP_108796737.1, WP_108796741.1, WP_108796809.1, WP_108796819.1, WP_108796834.1, WP_108796835.1, WP_108796838.1, WP_159087806.1, WP_159087815.1, WP_159087854.1, WP_159087898.1, WP_159088012.1, WP_159088103.1, WP_159088893.1, WP_159088909.1, WP_159088945.1, WP_159088960.1, WP_159088969.1, WP_159088973.1, WP_159088991.1, WP_159088995.1, WP_159089006.1, WP_159089050.1	WP_087946428.1, WP_108790151.1, WP_108805882.1, WP_108805983.1, WP_108834723.1, WP_108834809.1, WP_108834811.1, WP_108834964.1, WP_108835155.1, WP_159087806.1, WP_159087815.1, WP_159087995.1, WP_159088716.1, WP_159088787.1, WP_159088945.1, WP_159089704.1, WP_159089833.1, WP_159089867.1, WP_159091042.1, WP_159092988.1, WP_159093369.1, WP_159093410.1, WP_159093449.1, WP_159093450.1, WP_159093452.1, WP_159093457.1, WP_159093468.1	WP_087946428.1, WP_108775326.1, WP_108779999.1, WP_108794926.1, WP_108796838.1, WP_108817106.1, WP_109170826.1, WP_109170832.1, WP_109170839.1, WP_109170842.1, WP_109170850.1, WP_109170855.1, WP_109170863.1, WP_109170864.1, WP_159087795.1, WP_159087806.1, WP_159087854.1, WP_159088716.1, WP_159088787.1, WP_159088837.1, WP_159088960.1, WP_159089867.1, WP_159089898.1, WP_159091971.1, WP_162597097.1, WP_162597130.1, WP_162597165.1, WP_162597185.1, WP_162597193.1, WP_162597260.1, WP_239425891.1, WP_239425910.1		WP_087946428.1		WP_108832273.1, WP_159087616.1	WP_108784851.1	WP_108866181.1, WP_159089922.1	WP_087946428.1	WP_087946428.1
OG0000003		WP_208586475.1, WP_208586669.1, WP_208586684.1, WP_208586691.1, WP_208586767.1, WP_208587274.1, WP_208587302.1, WP_208587405.1, WP_208587639.1, WP_208587816.1, WP_208588207.1, WP_208588453.1, WP_208589313.1, WP_208589860.1, WP_208589896.1, WP_208591324.1, WP_208591587.1, WP_238135712.1, WP_238135741.1	WP_208586475.1, WP_208586669.1, WP_208586691.1, WP_208586767.1, WP_208587274.1, WP_208587302.1, WP_208587405.1, WP_208587639.1, WP_208587816.1, WP_208588207.1, WP_208588453.1, WP_208589313.1, WP_208589860.1, WP_208589896.1, WP_208591587.1, WP_238135514.1, WP_238135712.1, WP_238135741.1	WP_002803107.1, WP_065975368.1, WP_108780061.1, WP_108796720.1, WP_108796751.1, WP_108796775.1, WP_108796804.1, WP_108796813.1, WP_108796823.1, WP_159087915.1, WP_159088017.1, WP_159088925.1, WP_159088926.1, WP_159088962.1, WP_276527047.1	WP_108780061.1, WP_108834553.1, WP_108834589.1, WP_108835114.1, WP_159087961.1, WP_159090427.1, WP_159093399.1, WP_159093400.1, WP_159093406.1, WP_159093441.1, WP_234423281.1	WP_088061133.1, WP_088061257.1, WP_108780061.1, WP_108807051.1, WP_108820752.1, WP_109170824.1, WP_109170853.1, WP_109170854.1, WP_109170861.1, WP_159089552.1, WP_159089618.1, WP_159094076.1, WP_162597114.1, WP_162597129.1, WP_162597199.1, WP_162597223.1, WP_162597252.1	WP_159095416.1	WP_108780061.1	WP_108780061.1, WP_159088661.1		WP_159087731.1	WP_234410098.1	WP_108882776.1	WP_159087669.1
OG0000004		WP_208586672.1, WP_208588004.1, WP_208590244.1	WP_208586672.1, WP_208588004.1, WP_208590244.1, WP_238135652.1	WP_002807946.1, WP_065975420.1, WP_088061989.1, WP_108796710.1, WP_108796721.1, WP_108796725.1, WP_108796745.1, WP_108796766.1, WP_108796782.1, WP_108796788.1, WP_108796798.1, WP_108796831.1, WP_108796840.1, WP_199910243.1, WP_199910244.1, WP_199910247.1, WP_199910398.1, WP_199910866.1, WP_199915482.1, WP_199915492.1, WP_199915494.1, WP_199915511.1, WP_199915521.1	WP_002807946.1, WP_065975420.1, WP_108834431.1, WP_108834449.1, WP_108835140.1, WP_199910243.1, WP_199910247.1, WP_199913316.1, WP_199913813.1, WP_199913820.1, WP_199913823.1, WP_199913828.1, WP_199913842.1, WP_199913848.1, WP_199913849.1, WP_199913853.1, WP_199913861.1, WP_199913864.1, WP_231895756.1	WP_108817059.1, WP_109170819.1, WP_109170820.1, WP_109170831.1, WP_109170833.1, WP_109170837.1, WP_109170851.1, WP_162597102.1, WP_162597105.1, WP_162597119.1, WP_162597128.1, WP_162597161.1, WP_162597169.1, WP_162597187.1, WP_162597197.1, WP_162597219.1, WP_162597247.1, WP_162597250.1, WP_162597259.1, WP_162597270.1, WP_162597273.1	WP_199913047.1, WP_231895756.1, WP_234419618.1		WP_108884110.1, WP_231895756.1	WP_002807946.1, WP_108801492.1	WP_199912718.1	WP_199915087.1	WP_108882749.1, WP_108882767.1, WP_231895756.1, WP_234418036.1	WP_231895756.1
OG0000005				WP_108796781.1, WP_108796790.1, WP_108796836.1, WP_199915462.1, WP_199915469.1, WP_199915472.1, WP_199915491.1, WP_199915496.1, WP_199915519.1, WP_199915523.1, WP_199915527.1, WP_199915529.1, WP_199915531.1, WP_199915541.1, WP_199915544.1, WP_199915549.1, WP_199915551.1, WP_199915552.1, WP_199915553.1, WP_199915555.1, WP_234421249.1, WP_234421259.1	WP_108834535.1, WP_108834972.1, WP_199910184.1, WP_199913805.1, WP_199913809.1, WP_199913812.1, WP_199913814.1, WP_199913815.1, WP_199913818.1, WP_199913819.1, WP_199913824.1, WP_199913831.1, WP_199913835.1, WP_199913838.1, WP_199913841.1, WP_199913843.1, WP_199913846.1, WP_199913850.1, WP_199913852.1, WP_199913862.1, WP_199913872.1, WP_234410185.1, WP_234423306.1	WP_109170811.1, WP_109170816.1, WP_162597121.1, WP_162597160.1, WP_162597170.1, WP_162597190.1, WP_162597216.1, WP_162597228.1, WP_162597244.1, WP_162597245.1, WP_162597266.1, WP_162597269.1, WP_162597271.1, WP_162597272.1	WP_108862501.1		WP_108884112.1, WP_199913209.1	WP_199913789.1	WP_199912711.1	WP_199915090.1, WP_234410102.1, WP_234410104.1		WP_199913104.1, WP_199913107.1, WP_199913109.1
OG0000006				WP_108796739.1, WP_108796803.1, WP_159088896.1, WP_159088929.1, WP_159088954.1, WP_159088967.1, WP_159088999.1, WP_159089014.1, WP_159089030.1	WP_108834466.1, WP_108834970.1, WP_108835042.1, WP_159088061.1, WP_159088999.1, WP_159089544.1, WP_159093100.1, WP_159093390.1, WP_159093429.1, WP_159093438.1, WP_159093464.1, WP_159093489.1	WP_108784866.1, WP_109170828.1, WP_159087938.1, WP_159088896.1, WP_159089895.1, WP_159093229.1, WP_159093693.1, WP_159094972.1, WP_159096101.1, WP_159096297.1, WP_162597106.1, WP_162597118.1, WP_162597146.1, WP_162597180.1, WP_162597188.1, WP_162597218.1, WP_162597248.1, WP_162597258.1, WP_162597274.1, WP_162597275.1	WP_159094720.1, WP_159094972.1, WP_159095417.1			WP_108801493.1	WP_108801493.1, WP_108840903.1	WP_108801493.1	WP_108801493.1, WP_159088647.1	WP_108801493.1
OG0000007				WP_040762969.1, WP_065975260.1, WP_065975261.1, WP_108796828.1, WP_234421264.1, WP_254223683.1	WP_108834666.1, WP_108834668.1, WP_108835135.1, WP_234423311.1, WP_254214377.1, WP_254214397.1	WP_088061367.1, WP_088061368.1	WP_108862518.1, WP_234419620.1, WP_234419621.1, WP_234419622.1, WP_254213269.1	WP_088061367.1, WP_088061368.1	WP_108884113.1, WP_108884118.1, WP_234408282.1, WP_234418694.1	WP_234408004.1, WP_234408006.1, WP_234408008.1, WP_234408042.1, WP_254212190.1	WP_234420086.1, WP_254212189.1, WP_254212190.1, WP_254212194.1	WP_234408004.1, WP_234410115.1, WP_254212190.1	WP_108882780.1, WP_234409131.1, WP_234409132.1, WP_234418037.1, WP_254213269.1	WP_108858340.1, WP_234409131.1, WP_234409132.1, WP_254213269.1
OG0000008		WP_208586960.1, WP_208588526.1, WP_208588533.1, WP_208588535.1, WP_208588702.1, WP_238135524.1	WP_208586960.1, WP_208588526.1, WP_208588535.1, WP_208588702.1, WP_238135524.1, WP_238135608.1	WP_065975427.1, WP_197493699.1, WP_231892669.1	WP_065975427.1, WP_197493699.1, WP_234418669.1	WP_197685830.1, WP_231895628.1, WP_231895674.1	WP_199910475.1, WP_234410112.1, WP_234419602.1	WP_231895628.1, WP_244614076.1, WP_244614077.1	WP_197493699.1, WP_234417217.1, WP_234418669.1	WP_199913791.1, WP_231892669.1, WP_234407986.1	WP_197493699.1, WP_231892669.1, WP_234417217.1	WP_197493699.1, WP_231892669.1, WP_234410112.1	WP_199910475.1, WP_231892669.1, WP_234408274.1	WP_199910475.1, WP_231892669.1, WP_234408274.1
OG0000009				WP_083215103.1, WP_231892653.1, WP_231892702.1, WP_231892703.1, WP_231892704.1	WP_083215103.1, WP_231892653.1, WP_231892702.1, WP_231892704.1, WP_234416994.1	WP_088057122.1	WP_231892703.1, WP_231892704.1, WP_234409139.1	WP_234409139.1	WP_231892652.1, WP_231892702.1, WP_234407794.1, WP_234408016.1, WP_234418696.1	WP_231892652.1, WP_231892702.1, WP_231892703.1, WP_234407794.1, WP_234408016.1	WP_231892652.1, WP_231892702.1, WP_234407794.1, WP_234408016.1, WP_234418696.1	WP_083215103.1, WP_231892702.1, WP_231892703.1, WP_234407794.1, WP_234408016.1	WP_234418019.1, WP_234418031.1	WP_231892702.1, WP_231892703.1, WP_234409139.1
